Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,8,HIT_MUD,false,0,1,1,0,0,,,0,0,1
5,1,1,24,8,FIXED_CAR,false,0,0,1,0,0,,,0,0,1
6,1,1,39,8,HIT_MUD,false,0,2,0,0,0,,,1,1,7
7,1,1,47,8,USED_TWEET,false,0,2,0,0,0,4,51,1,1,15
8,1,1,55,8,USED_TWEET,false,0,2,0,0,0,4,57,1,1,23
9,1,1,63,6,HIT_MUD,false,0,3,0,0,0,4,51,0,1,24
10,1,1,69,6,ACCELERATING,false,0,3,0,0,0,4,51,1,1,28
11,1,1,75,6,USED_TWEET,false,0,3,0,0,0,4,51,0,1,32
12,1,1,81,6,ACCELERATING,false,0,3,0,0,1,4,51,0,1,36
13,1,1,87,6,ACCELERATING,false,0,3,0,0,1,4,51,0,1,36
14,1,1,93,6,ACCELERATING,false,0,3,0,0,1,4,51,0,1,36
15,1,1,99,6,ACCELERATING,false,0,3,0,0,1,4,51,0,1,36
16,1,1,105,6,ACCELERATING,false,0,3,0,1,1,4,51,0,1,40
17,1,1,111,6,ACCELERATING,false,0,3,0,1,1,4,51,1,1,44
18,1,1,117,6,USED_LIZARD,false,0,3,0,1,0,4,51,1,1,44
19,1,1,123,6,USED_TWEET,false,0,3,0,1,0,4,78,0,1,48
20,1,1,129,6,ACCELERATING,false,0,3,0,1,0,4,78,0,1,48
21,1,1,135,6,ACCELERATING,false,0,3,0,1,0,4,78,0,1,48
22,1,1,141,6,ACCELERATING,false,0,3,0,1,0,4,78,0,1,48
23,1,1,147,6,ACCELERATING,false,0,3,0,1,1,4,78,0,2,56
24,1,1,153,6,USED_LIZARD,false,0,3,0,1,0,4,78,0,2,56
25,1,1,159,6,ACCELERATING,false,0,3,0,1,0,4,78,0,2,56
26,1,1,165,6,ACCELERATING,false,0,3,0,1,0,4,78,0,2,56
27,1,1,171,6,ACCELERATING,false,0,3,0,1,0,4,78,0,2,56
28,1,1,177,6,ACCELERATING,false,0,3,0,1,0,4,78,0,2,56
29,1,1,183,6,ACCELERATING,false,0,3,0,1,0,4,78,0,2,56
30,1,1,189,6,ACCELERATING,false,0,3,0,1,0,4,78,0,2,56
