Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,3,12,6,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
4,2,3,20,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,2,2,27,8,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
6,2,2,36,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
7,2,2,45,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
8,2,2,54,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
9,2,1,62,9,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
10,2,1,71,8,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
11,2,1,80,9,ACCELERATING,false,0,1,0,0,0,,,0,0,-3
12,2,1,80,9,FIXED_CAR,false,0,0,0,0,0,,,0,0,-3
13,2,1,89,9,ACCELERATING,false,0,0,0,0,0,,,0,0,-3
14,2,2,97,8,HIT_MUD,false,0,1,0,0,0,,,0,0,-6
15,2,2,106,9,ACCELERATING,false,0,1,0,0,0,,,0,0,-6
16,2,3,114,9,TURNING_RIGHT,false,0,1,0,0,2,,,0,0,2
17,2,3,123,9,USED_LIZARD,false,0,1,0,0,1,,,0,0,2
18,2,3,132,9,USED_LIZARD,false,0,1,0,0,0,,,0,0,2
19,2,3,132,9,FIXED_CAR,false,0,0,0,0,0,,,0,0,2
20,2,3,141,9,ACCELERATING,false,0,0,0,0,0,,,0,0,2
21,2,3,150,9,ACCELERATING,false,0,0,0,0,0,,,0,0,2
22,2,3,159,9,ACCELERATING,false,0,0,1,0,0,,,0,0,6
23,2,3,174,15,USED_BOOST,true,5,0,0,0,0,,,0,0,10
24,2,4,188,15,TURNING_RIGHT,true,4,0,1,0,0,,,0,1,18
25,2,4,197,15,USED_EMP,true,3,0,1,1,0,,,0,0,26
26,2,4,212,15,USED_BOOST,true,5,0,0,1,0,,,1,0,34
27,2,3,226,15,TURNING_LEFT,true,4,0,0,3,0,,,1,0,42
28,2,2,240,15,TURNING_LEFT,true,3,0,0,4,1,,,1,0,50
29,2,2,255,15,USED_LIZARD,true,2,0,0,4,0,,,1,0,50
30,2,2,270,15,USED_OIL,true,1,0,1,3,0,,,1,0,58
31,2,2,285,15,USED_BOOST,true,5,0,1,3,0,,,1,0,66
32,2,1,299,15,TURNING_LEFT,true,4,0,1,3,0,,,1,0,66
33,2,2,313,15,TURNING_RIGHT,true,3,0,1,3,0,,,1,0,66
34,2,3,327,15,TURNING_RIGHT,true,2,0,2,3,0,,,1,0,70
35,2,3,342,15,USED_BOOST,true,5,0,1,3,0,,,1,0,74
36,2,3,357,15,USED_BOOST,true,5,0,1,3,0,,,2,0,86
37,2,2,371,15,TURNING_LEFT,true,4,0,1,3,0,,,3,0,90
38,2,2,386,15,USED_BOOST,true,5,0,0,3,0,,,3,1,98
39,2,3,400,15,TURNING_RIGHT,true,4,0,0,3,0,,,3,1,98
40,2,3,415,9,HIT_MUD,false,0,1,1,3,0,,,3,1,99
41,2,3,415,9,FIXED_CAR,false,0,0,1,3,0,,,3,1,99
42,2,3,430,15,USED_BOOST,true,5,0,2,3,1,,,4,1,119
43,2,3,445,15,USED_LIZARD,true,4,0,2,3,0,,,4,2,123
44,2,2,459,15,TURNING_LEFT,true,3,0,2,3,0,,,4,2,123
45,2,2,474,15,USED_BOOST,true,5,0,1,3,0,,,4,2,127
46,2,1,488,9,HIT_MUD,false,0,1,1,4,0,,,4,2,128
47,2,1,488,9,FIXED_CAR,false,0,0,1,4,0,,,4,2,128
48,2,1,503,15,USED_BOOST,true,5,0,0,4,0,,,4,2,132
49,2,2,517,15,TURNING_RIGHT,true,4,0,1,4,0,,,4,3,140
50,2,2,532,15,USED_BOOST,true,5,0,0,6,0,,,4,3,152
51,2,2,547,15,USED_OIL,true,4,0,0,5,0,,,4,3,156
52,2,2,562,15,USED_OIL,true,3,0,0,5,0,,,4,3,164
53,2,1,576,15,TURNING_LEFT,true,2,0,0,5,0,,,4,3,164
54,2,1,591,15,USED_OIL,true,1,0,0,4,0,,,4,3,168
55,2,2,599,9,TURNING_RIGHT,false,0,0,1,4,0,,,4,3,172
56,2,3,607,9,TURNING_RIGHT,false,0,0,1,4,0,,,4,3,172
57,2,3,622,15,USED_BOOST,true,5,0,0,5,0,,,4,3,180
58,2,3,637,15,USED_OIL,true,4,0,0,5,0,,,4,3,188
59,2,3,652,15,USED_OIL,true,3,0,0,4,0,,,4,3,192
60,2,2,666,15,TURNING_LEFT,true,2,0,0,4,0,,,4,3,192
61,2,1,680,15,TURNING_LEFT,true,1,0,1,5,0,,,4,3,200
62,2,1,695,15,USED_BOOST,true,5,0,0,6,0,,,4,3,208
63,2,2,709,9,HIT_MUD,false,0,1,0,6,0,,,4,3,205
64,2,2,709,9,FIXED_CAR,false,0,0,0,6,0,,,4,3,205
65,2,2,718,9,ACCELERATING,false,0,0,0,6,0,,,4,3,205
66,2,3,726,9,TURNING_RIGHT,false,0,0,0,6,0,,,4,4,209
67,2,3,735,9,ACCELERATING,false,0,0,0,6,0,,,4,4,209
68,2,3,744,9,ACCELERATING,false,0,0,0,6,0,,,4,4,209
69,2,3,753,9,ACCELERATING,false,0,0,0,7,0,,,5,5,221
70,2,3,762,9,ACCELERATING,false,0,0,0,7,0,,,5,5,221
71,2,3,771,9,ACCELERATING,false,0,0,0,7,0,,,5,5,221
72,2,2,779,9,TURNING_LEFT,false,0,0,1,7,0,,,5,5,225
73,2,2,794,15,USED_BOOST,true,5,0,0,8,0,,,6,5,237
74,2,2,809,15,USED_OIL,true,4,0,0,7,0,,,6,5,241
75,2,2,824,15,USED_OIL,true,3,0,0,6,0,,,6,5,245
76,2,2,839,15,USED_OIL,true,2,0,0,5,0,,,6,5,249
77,2,2,854,15,USED_OIL,true,1,0,0,4,0,,,6,5,253
78,2,3,862,9,TURNING_RIGHT,false,0,0,0,4,1,,,6,5,257
79,2,3,871,9,USED_LIZARD,false,0,0,0,4,0,,,6,5,257
80,2,3,880,9,ACCELERATING,false,0,0,0,4,1,,,6,5,261
81,2,3,889,9,USED_LIZARD,false,0,0,0,4,0,,,6,5,261
82,2,2,897,9,TURNING_LEFT,false,0,0,0,4,0,,,7,5,265
83,2,2,906,9,ACCELERATING,false,0,0,0,4,0,,,7,5,265
84,2,2,915,9,ACCELERATING,false,0,0,0,4,0,,,7,6,269
85,2,2,924,9,ACCELERATING,false,0,0,0,4,0,,,7,6,269
86,2,2,924,3,HIT_CYBER_TRUCK,false,0,2,0,4,0,,,7,6,262
87,2,2,930,6,ACCELERATING,false,0,2,0,4,0,,,7,6,262
88,2,2,938,8,ACCELERATING,false,0,2,0,4,0,,,7,6,262
89,2,2,938,8,FIXED_CAR,false,0,0,0,4,0,,,7,6,262
90,2,2,947,9,ACCELERATING,false,0,0,0,4,0,,,8,6,266
91,2,2,956,9,ACCELERATING,false,0,0,0,4,0,,,8,6,266
92,2,2,965,9,ACCELERATING,false,0,0,0,4,0,,,8,6,266
93,2,2,974,9,ACCELERATING,false,0,0,0,4,0,,,8,6,266
94,2,2,983,9,ACCELERATING,false,0,0,0,4,0,,,8,6,266
95,2,2,992,9,ACCELERATING,false,0,0,0,4,0,,,8,6,266
96,2,2,1001,9,ACCELERATING,false,0,0,0,4,0,,,8,8,274
97,2,1,1009,9,TURNING_LEFT,false,0,0,0,4,0,,,8,8,274
98,2,1,1018,9,ACCELERATING,false,0,0,0,5,0,,,8,8,278
99,2,1,1027,9,ACCELERATING,false,0,0,1,5,0,,,8,8,282
100,2,1,1042,15,USED_BOOST,true,5,0,0,5,0,,,9,9,294
101,2,2,1056,15,TURNING_RIGHT,true,4,0,0,5,0,,,9,9,294
102,2,2,1071,15,USED_OIL,true,3,0,0,4,0,,,9,9,298
103,2,2,1086,9,HIT_MUD,false,0,1,0,5,0,,,9,9,299
104,2,2,1086,9,FIXED_CAR,false,0,0,0,5,0,,,9,9,299
105,2,2,1095,9,ACCELERATING,false,0,0,0,5,1,,,10,9,307
106,2,2,1104,9,USED_LIZARD,false,0,0,0,5,0,,,10,9,307
107,2,2,1113,9,ACCELERATING,false,0,0,0,5,0,,,10,9,307
108,2,2,1122,9,ACCELERATING,false,0,0,0,5,1,,,10,9,311
109,2,2,1131,9,USED_LIZARD,false,0,0,0,5,0,,,10,9,311
110,2,1,1139,9,TURNING_LEFT,false,0,0,0,5,0,,,10,9,311
111,2,1,1148,9,ACCELERATING,false,0,0,0,5,0,,,10,9,311
112,2,1,1157,9,ACCELERATING,false,0,0,1,5,0,,,10,9,315
113,2,1,1172,9,HIT_MUD,false,0,1,0,5,0,,,10,9,316
114,2,2,1180,9,TURNING_RIGHT,false,0,1,0,6,0,,,10,10,324
115,2,2,1180,9,FIXED_CAR,false,0,0,0,6,0,,,10,10,324
116,2,2,1189,9,ACCELERATING,false,0,0,0,6,0,,,10,10,324
117,2,2,1198,9,ACCELERATING,false,0,0,0,6,0,,,10,10,324
118,2,2,1207,9,ACCELERATING,false,0,0,0,6,0,,,10,10,324
119,2,3,1215,9,TURNING_RIGHT,false,0,0,0,6,0,,,10,10,324
120,2,3,1224,9,ACCELERATING,false,0,0,0,6,0,,,10,10,324
121,2,3,1233,8,HIT_MUD,false,0,1,0,6,0,,,10,10,321
122,2,3,1242,9,ACCELERATING,false,0,1,0,6,0,,,10,10,321
123,2,3,1242,9,FIXED_CAR,false,0,0,0,6,0,,,10,10,321
124,2,3,1251,9,ACCELERATING,false,0,0,0,6,0,,,11,10,325
125,2,2,1259,9,TURNING_LEFT,false,0,0,0,6,1,,,11,10,329
126,2,2,1268,9,USED_LIZARD,false,0,0,0,6,0,,,11,10,329
127,2,3,1276,9,TURNING_RIGHT,false,0,0,0,6,0,,,11,10,329
128,2,3,1285,9,ACCELERATING,false,0,0,1,6,0,,,12,11,341
129,2,3,1300,15,USED_BOOST,true,5,0,0,7,0,,,13,11,353
130,2,3,1315,15,USED_OIL,true,4,0,0,6,0,,,13,11,357
131,2,3,1330,15,USED_OIL,true,3,0,1,5,0,,,13,11,365
132,2,2,1344,15,TURNING_LEFT,true,2,0,1,6,0,,,13,11,369
133,2,2,1359,15,USED_BOOST,true,5,0,0,6,1,,,14,11,381
134,2,2,1374,15,USED_LIZARD,true,4,0,0,6,0,,,14,11,381
